Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,pH_Level,Temperature_C,Rainfall_mm,Recommended_Fertilizer
171.85,72.02,310.83,8.87,39.9,147.6,Gypsum & DAP
89.07,26.86,156.09,5.16,43.3,906.6,Lime & Urea
323.69,47.2,452.61,4.68,29.0,574.9,Lime & Urea
226.06,12.48,70.37,4.65,28.7,727.5,Lime & Urea
98.82,74.15,140.82,6.59,30.1,1053.6,Standard Balanced NPK
248.07,15.56,388.42,4.87,36.7,1080.9,Lime & Urea
63.76,21.87,369.22,6.8,35.0,138.6,Standard Balanced NPK
413.73,46.86,180.17,5.97,21.7,1177.0,Standard Balanced NPK
153.51,62.31,77.91,6.01,16.9,790.9,Standard Balanced NPK
315.01,51.45,436.14,7.36,43.5,879.4,Standard Balanced NPK
174.68,22.41,191.16,5.23,22.8,517.2,Lime & Urea
258.03,5.07,138.07,7.95,34.2,689.2,Standard Balanced NPK
268.68,61.79,282.23,7.12,39.9,1094.5,Standard Balanced NPK
123.94,78.89,459.6,8.62,24.0,1187.4,Gypsum & DAP
437.83,65.74,69.6,6.14,34.1,641.9,MOP (High K)
360.05,39.52,394.61,8.92,18.2,1067.6,Gypsum & DAP
425.8,72.78,307.61,7.09,44.1,461.3,Standard Balanced NPK
407.93,35.74,241.45,8.88,16.7,1264.8,Gypsum & DAP
289.16,44.37,384.84,4.62,28.1,953.7,Lime & Urea
418.75,40.78,484.62,7.78,31.1,1185.3,Standard Balanced NPK
85.4,38.57,153.14,8.17,38.7,768.0,Standard Balanced NPK
128.39,63.14,114.64,4.74,18.6,420.8,Lime & Urea
68.09,44.51,460.8,7.11,28.2,700.9,Urea (High N)
180.13,28.75,351.03,8.11,24.0,634.1,Standard Balanced NPK
205.47,24.36,247.09,7.02,24.4,565.8,Standard Balanced NPK
158.54,7.83,307.97,4.79,38.4,397.0,Lime & Urea
381.5,48.74,385.53,7.62,15.2,1162.8,Standard Balanced NPK
192.7,22.25,397.86,4.77,37.5,220.9,Lime & Urea
162.37,16.11,463.95,8.18,39.3,1342.6,Standard Balanced NPK
267.08,54.04,242.08,4.69,42.0,345.0,Lime & Urea
106.37,56.09,182.03,5.12,33.8,1471.8,Lime & Urea
370.88,61.41,337.85,5.74,25.0,1483.9,Standard Balanced NPK
79.82,42.77,237.08,7.35,27.8,657.7,Urea (High N)
444.75,72.05,317.57,8.89,44.1,1482.9,Gypsum & DAP
358.9,75.23,238.99,5.03,41.4,1316.7,Lime & Urea
129.49,65.55,118.85,5.14,28.9,215.4,Lime & Urea
52.21,52.67,261.24,6.16,43.3,1426.3,Urea (High N)
376.18,27.78,360.91,8.26,39.7,159.5,Standard Balanced NPK
332.74,78.72,409.68,6.6,42.0,354.7,Standard Balanced NPK
341.6,25.56,272.0,5.95,35.5,918.4,Standard Balanced NPK
358.51,20.2,124.36,7.03,40.7,213.0,Standard Balanced NPK
79.62,38.16,236.61,5.67,41.8,326.4,Urea (High N)
193.39,9.26,403.83,6.31,17.8,1434.9,Standard Balanced NPK
96.35,78.39,235.79,6.0,44.0,1492.6,Urea (High N)
395.24,49.13,363.44,8.12,25.0,1217.4,Standard Balanced NPK
299.32,46.77,278.25,8.66,28.2,821.3,Gypsum & DAP
182.36,54.18,158.55,7.92,38.8,1360.4,Standard Balanced NPK
75.42,42.28,408.27,6.48,34.9,256.7,Urea (High N)
174.39,7.4,87.9,6.77,41.8,1420.0,Standard Balanced NPK
180.07,50.92,286.2,5.06,27.0,592.2,Lime & Urea
341.84,58.71,144.0,7.86,26.2,1306.1,MOP (High K)
305.02,36.26,80.18,7.18,16.0,1035.7,MOP (High K)
404.89,61.8,276.32,8.56,28.9,1444.4,Gypsum & DAP
238.89,22.03,274.8,5.4,36.7,1310.5,Lime & Urea
97.84,21.6,368.11,7.92,24.0,1343.1,Standard Balanced NPK
335.3,17.11,385.14,7.58,28.9,984.5,DAP (High P)
354.31,32.9,377.51,5.7,21.6,1266.4,Standard Balanced NPK
274.51,68.53,234.3,7.5,38.2,1160.0,Standard Balanced NPK
358.39,67.09,334.26,8.66,16.8,326.3,Gypsum & DAP
247.52,33.71,309.63,8.63,36.2,1008.0,Gypsum & DAP
259.09,49.18,239.7,7.74,26.4,307.4,Standard Balanced NPK
221.02,59.06,318.75,4.72,16.2,1317.2,Lime & Urea
60.17,23.09,476.26,8.43,40.6,192.3,Standard Balanced NPK
93.16,17.61,136.8,7.46,29.6,1481.9,Complex NPK (19:19:19)
62.57,77.91,457.6,5.9,33.0,660.9,Urea (High N)
304.56,51.32,74.05,5.34,37.0,338.9,Lime & Urea
175.74,78.61,188.78,5.02,34.7,1409.9,Lime & Urea
253.43,30.33,179.67,4.73,36.9,163.6,Lime & Urea
413.03,57.73,331.86,7.89,37.9,758.1,Standard Balanced NPK
149.72,21.7,109.05,5.56,32.7,1178.3,Standard Balanced NPK
214.15,24.59,447.06,4.61,26.0,543.5,Lime & Urea
352.22,43.39,422.85,6.29,22.3,840.4,Standard Balanced NPK
141.52,28.97,343.43,6.67,42.1,1080.6,Standard Balanced NPK
80.79,17.57,256.29,5.26,44.1,1432.8,Lime & Urea
165.9,24.72,469.83,4.7,25.7,243.8,Lime & Urea
114.49,7.68,423.84,5.35,18.4,320.1,Lime & Urea
421.88,57.83,274.69,7.56,21.7,812.4,Standard Balanced NPK
373.25,41.91,365.84,4.87,35.1,685.9,Lime & Urea
303.36,12.07,305.12,7.0,20.2,675.1,DAP (High P)
398.58,17.88,314.57,5.16,38.4,515.7,Lime & Urea
371.47,12.69,198.94,5.38,42.7,885.0,Lime & Urea
124.63,50.94,257.94,6.27,43.9,1336.6,Urea (High N)
407.02,12.07,85.15,4.95,15.3,325.3,Lime & Urea
265.74,61.57,210.81,5.28,43.7,401.4,Lime & Urea
372.98,6.54,363.12,6.07,37.2,1039.2,DAP (High P)
408.44,23.7,478.95,5.98,17.5,178.7,Standard Balanced NPK
177.2,71.8,483.38,7.87,27.5,1043.3,Standard Balanced NPK
94.02,58.89,300.08,4.84,36.0,540.2,Lime & Urea
141.17,10.47,322.98,8.37,43.7,601.0,Standard Balanced NPK
220.84,66.58,133.57,8.17,19.9,667.8,MOP (High K)
377.21,41.98,362.89,7.95,18.8,589.4,Standard Balanced NPK
394.29,68.51,81.8,5.89,29.2,1277.7,MOP (High K)
52.78,50.06,178.11,8.2,44.0,1424.5,Standard Balanced NPK
254.3,56.14,350.76,5.32,44.1,867.2,Lime & Urea
216.96,79.51,189.64,5.06,21.8,914.6,Lime & Urea
138.84,22.43,72.43,4.7,24.6,198.7,Lime & Urea
97.95,51.8,424.34,8.73,42.2,1098.5,Gypsum & DAP
185.05,39.52,189.65,5.89,37.0,917.7,Standard Balanced NPK
427.16,7.96,78.4,8.63,44.2,170.6,Gypsum & DAP
179.28,6.09,83.65,5.73,41.8,377.8,Standard Balanced NPK
257.52,13.94,163.29,8.58,21.5,382.7,Gypsum & DAP
331.21,53.68,130.11,8.57,37.8,339.4,Gypsum & DAP
195.45,47.54,398.44,8.66,16.5,1022.1,Gypsum & DAP
438.71,46.51,194.76,6.73,39.5,1399.8,Standard Balanced NPK
434.98,7.39,412.11,8.4,33.0,1168.2,DAP (High P)
150.71,40.2,128.23,8.78,43.7,768.3,Gypsum & DAP
248.9,74.35,271.8,5.96,43.8,665.7,Standard Balanced NPK
170.35,34.82,359.62,6.38,16.5,641.0,Standard Balanced NPK
163.94,51.87,343.4,7.74,19.8,941.7,Standard Balanced NPK
64.75,63.49,320.51,5.85,29.5,602.9,Urea (High N)
293.83,63.79,466.17,7.89,41.4,416.6,Standard Balanced NPK
251.07,43.95,152.84,4.83,39.4,944.0,Lime & Urea
70.59,69.35,272.17,6.86,43.9,647.0,Urea (High N)
161.46,34.35,447.8,5.05,33.5,119.8,Lime & Urea
413.31,71.65,85.05,5.82,22.7,131.1,MOP (High K)
145.82,23.02,75.15,5.66,15.8,483.8,Standard Balanced NPK
107.96,26.02,154.99,8.28,21.7,817.4,Standard Balanced NPK
245.78,8.98,334.86,5.37,35.3,595.9,Lime & Urea
444.26,64.67,166.95,8.14,42.8,133.7,Standard Balanced NPK
146.82,36.28,135.61,8.07,24.6,412.4,Standard Balanced NPK
318.85,22.18,256.46,6.74,41.3,235.0,Standard Balanced NPK
354.65,22.38,326.12,5.55,26.8,1428.1,Standard Balanced NPK
145.06,72.6,161.85,5.52,24.2,538.0,Standard Balanced NPK
341.29,67.54,185.31,6.59,30.3,120.7,Standard Balanced NPK
197.11,46.51,326.1,4.54,28.3,1024.8,Lime & Urea
302.92,51.21,475.58,6.89,42.4,425.4,Standard Balanced NPK
303.41,40.57,353.63,8.79,29.0,893.4,Gypsum & DAP
264.31,34.37,402.31,5.2,23.3,311.0,Lime & Urea
86.12,73.66,215.06,7.08,40.3,1477.6,Urea (High N)
384.12,14.42,172.51,8.83,45.0,1458.4,Gypsum & DAP
178.31,36.38,254.42,8.37,34.4,1018.4,Standard Balanced NPK
124.61,30.84,413.21,8.33,22.5,1090.1,Urea (High N)
66.31,42.36,255.33,8.2,22.2,696.2,Urea (High N)
286.36,39.32,431.03,5.89,16.7,1447.1,Standard Balanced NPK
321.03,43.92,494.95,8.51,17.3,693.2,Gypsum & DAP
56.64,15.49,82.41,8.74,42.4,435.3,Gypsum & DAP
254.84,43.49,70.43,6.73,17.9,261.5,MOP (High K)
140.6,23.18,117.32,6.1,29.5,391.4,Standard Balanced NPK
308.07,18.82,222.97,6.36,35.9,901.1,DAP (High P)
119.75,9.86,108.97,6.0,40.5,443.1,Complex NPK (19:19:19)
326.38,62.2,441.8,5.46,20.1,1015.9,Lime & Urea
204.69,37.06,60.42,7.28,28.1,635.1,MOP (High K)
424.69,52.0,192.11,7.03,22.5,1341.6,Standard Balanced NPK
105.01,59.57,133.11,6.58,22.7,881.9,Standard Balanced NPK
186.43,55.95,469.19,4.93,24.1,971.6,Lime & Urea
95.39,40.29,351.27,8.09,32.6,879.2,Urea (High N)
419.88,34.09,460.41,5.29,15.5,1339.8,Lime & Urea
400.94,33.2,487.55,5.02,27.3,188.8,Lime & Urea
153.18,53.0,273.69,7.3,20.6,194.3,Standard Balanced NPK
313.99,42.11,155.44,6.29,44.0,1082.4,Standard Balanced NPK
376.89,68.68,137.18,4.77,32.5,1175.1,Lime & Urea
272.08,70.6,150.31,6.1,41.0,707.0,Standard Balanced NPK
261.86,17.79,368.87,7.97,20.9,593.2,DAP (High P)
146.74,15.22,68.2,7.27,39.3,489.1,Complex NPK (19:19:19)
87.24,52.28,73.11,6.13,27.4,428.2,Standard Balanced NPK
408.89,27.59,323.66,5.36,20.3,1376.7,Lime & Urea
410.17,6.39,338.93,7.34,37.8,513.2,DAP (High P)
303.24,71.65,349.37,8.49,37.9,1007.3,Standard Balanced NPK
185.61,22.02,217.35,7.41,44.9,1201.9,Standard Balanced NPK
189.68,74.7,412.68,8.16,38.4,130.8,Standard Balanced NPK
340.38,58.81,290.13,6.85,19.4,147.4,Standard Balanced NPK
408.84,62.2,97.46,7.73,24.7,566.4,MOP (High K)
404.83,20.11,408.69,8.53,28.6,1074.4,Gypsum & DAP
361.95,22.56,478.88,7.98,18.8,465.1,Standard Balanced NPK
306.81,44.1,77.02,8.59,38.6,102.1,Gypsum & DAP
83.66,17.91,226.11,6.44,30.8,503.4,Standard Balanced NPK
114.65,27.91,269.38,8.57,43.3,226.2,Gypsum & DAP
409.42,29.11,115.91,7.3,32.7,407.2,Standard Balanced NPK
292.57,16.97,440.47,8.42,30.7,566.5,DAP (High P)
53.68,20.39,177.87,4.68,17.1,279.3,Lime & Urea
90.59,64.14,402.35,7.46,19.5,1088.9,Urea (High N)
315.4,17.54,351.95,8.32,40.5,458.3,DAP (High P)
52.02,7.13,319.12,5.28,44.7,1025.5,Lime & Urea
114.32,52.2,136.46,7.48,27.5,938.6,Standard Balanced NPK
269.49,78.2,149.32,8.21,39.3,1357.3,MOP (High K)
326.76,29.84,71.31,5.8,33.8,223.1,Standard Balanced NPK
310.78,13.9,158.32,6.32,43.8,400.5,Standard Balanced NPK
139.71,47.78,205.45,7.06,22.1,1311.2,Urea (High N)
334.87,72.98,424.92,6.84,31.3,1251.0,Standard Balanced NPK
144.9,63.8,214.88,4.68,27.3,368.9,Lime & Urea
180.16,51.69,389.58,4.94,31.3,250.8,Lime & Urea
348.6,28.63,247.75,4.95,23.1,1298.7,Lime & Urea
309.85,45.64,403.19,5.68,29.9,349.4,Standard Balanced NPK
389.69,11.84,489.32,5.61,33.7,1319.6,DAP (High P)
313.05,55.92,157.93,7.84,17.4,1445.6,Standard Balanced NPK
277.32,59.38,438.05,7.08,37.3,409.1,Standard Balanced NPK
87.47,77.38,329.82,7.94,36.2,1276.5,Urea (High N)
197.09,24.53,417.78,4.81,41.4,693.4,Lime & Urea
156.08,6.38,343.21,6.68,27.8,1204.3,Standard Balanced NPK
147.6,45.92,240.78,5.96,16.9,670.4,Urea (High N)
439.2,58.01,152.63,8.32,28.8,198.6,Standard Balanced NPK
207.24,64.28,81.52,7.69,19.1,1097.8,MOP (High K)
406.82,19.53,290.98,8.41,34.4,311.0,DAP (High P)
302.46,24.63,495.65,4.71,16.4,1397.8,Lime & Urea
367.92,43.44,382.12,7.74,26.2,684.8,Standard Balanced NPK
251.05,29.8,197.31,6.93,17.5,214.8,Standard Balanced NPK
280.76,69.54,422.24,8.21,15.1,419.9,Standard Balanced NPK
247.01,40.53,396.04,6.78,43.8,1307.5,Standard Balanced NPK
128.1,64.97,176.74,6.93,44.9,549.5,Standard Balanced NPK
338.98,48.55,56.44,4.73,31.7,1298.9,Lime & Urea
162.31,62.98,103.17,7.51,22.2,341.2,Standard Balanced NPK
59.73,29.95,444.79,5.73,42.3,755.5,Standard Balanced NPK
308.19,67.36,426.45,4.59,42.7,1329.6,Lime & Urea
120.84,25.59,182.84,4.8,40.6,167.8,Lime & Urea
426.18,45.96,178.34,8.81,31.3,526.0,Gypsum & DAP
431.57,21.05,406.79,6.06,17.2,1373.8,Standard Balanced NPK
415.95,40.66,471.98,8.41,17.7,935.1,Standard Balanced NPK
198.06,28.86,400.61,8.82,41.9,1102.7,Gypsum & DAP
56.18,25.0,322.51,8.74,41.3,1279.0,Gypsum & DAP
421.33,77.52,159.2,8.47,28.0,833.0,Standard Balanced NPK
221.27,17.01,286.59,8.53,24.8,1283.5,Gypsum & DAP
436.66,64.05,155.08,5.8,34.3,994.3,Standard Balanced NPK
435.45,78.81,413.61,5.18,39.2,1059.9,Lime & Urea
391.2,6.49,224.13,7.38,37.0,314.0,DAP (High P)
167.78,57.43,425.16,6.7,33.5,1414.6,Standard Balanced NPK
204.04,23.97,221.72,4.94,21.9,1214.5,Lime & Urea
390.45,8.04,420.87,7.55,22.9,455.9,DAP (High P)
176.77,35.22,199.99,7.03,36.7,912.0,Standard Balanced NPK
117.8,75.14,248.06,8.38,39.1,627.1,Urea (High N)
272.72,5.88,326.97,7.24,18.5,1024.6,DAP (High P)
424.46,49.09,81.63,7.08,20.6,1491.2,MOP (High K)
328.41,42.6,476.69,6.48,35.4,164.0,Standard Balanced NPK
278.02,70.5,308.12,6.58,26.7,1433.5,Standard Balanced NPK
88.87,11.3,278.52,8.79,31.9,201.3,Gypsum & DAP
296.0,56.11,427.73,5.12,33.4,745.1,Lime & Urea
446.02,56.01,439.59,6.51,38.3,775.0,Standard Balanced NPK
106.03,55.18,285.02,7.45,39.2,476.2,Urea (High N)
257.33,75.68,467.27,6.45,23.4,893.4,Standard Balanced NPK
400.95,66.73,79.13,5.77,31.2,1267.5,MOP (High K)
346.31,8.15,100.95,5.79,18.7,511.5,Standard Balanced NPK
328.81,40.33,318.55,5.55,40.3,198.6,Standard Balanced NPK
330.99,34.85,209.33,6.05,40.4,985.2,Standard Balanced NPK
193.8,28.26,258.9,8.42,24.0,1152.4,Standard Balanced NPK
167.44,38.85,197.64,6.77,19.8,1436.3,Standard Balanced NPK
373.74,33.81,232.13,5.58,17.1,323.3,Standard Balanced NPK
374.05,37.43,420.19,6.23,32.2,1361.9,Standard Balanced NPK
396.83,78.44,317.06,4.98,17.7,775.0,Lime & Urea
415.3,11.65,498.81,8.57,35.4,430.1,Gypsum & DAP
254.54,74.17,404.1,6.34,35.3,1447.8,Standard Balanced NPK
250.61,41.02,173.15,8.91,33.4,433.8,Gypsum & DAP
369.32,51.78,168.96,6.06,41.3,1126.8,Standard Balanced NPK
309.99,67.26,201.15,8.26,26.3,1198.8,Standard Balanced NPK
330.79,32.03,429.47,5.65,42.1,702.7,Standard Balanced NPK
368.32,37.28,62.28,4.84,16.1,1066.0,Lime & Urea
406.0,35.71,153.58,4.64,18.4,901.5,Lime & Urea
185.2,33.1,457.21,7.23,27.4,368.8,Standard Balanced NPK
200.23,74.41,337.95,5.9,32.8,1163.8,Standard Balanced NPK
87.59,67.17,152.08,6.5,16.0,1399.2,Standard Balanced NPK
281.31,13.17,148.62,8.18,32.0,784.1,Standard Balanced NPK
64.38,13.11,438.18,5.62,24.2,1492.0,Standard Balanced NPK
236.24,37.09,452.19,5.89,41.6,699.2,Standard Balanced NPK
267.06,12.4,165.26,8.3,31.0,771.6,Standard Balanced NPK
164.62,51.43,239.23,6.72,32.6,1043.5,Standard Balanced NPK
286.33,15.78,425.57,8.22,43.4,360.1,DAP (High P)
62.2,44.18,396.95,6.19,37.9,1362.7,Urea (High N)
64.94,5.54,416.26,6.29,28.1,1221.8,Standard Balanced NPK
379.04,28.74,283.28,5.25,29.3,1321.4,Lime & Urea
194.08,55.79,460.2,8.62,34.4,953.4,Gypsum & DAP
100.82,41.3,196.68,8.54,21.0,1337.2,Gypsum & DAP
258.9,78.37,120.5,8.93,17.7,1052.0,Gypsum & DAP
358.0,70.56,368.93,6.31,24.3,816.2,Standard Balanced NPK
136.33,31.93,292.71,8.18,38.4,1404.5,Urea (High N)
299.16,8.41,434.56,6.37,22.7,715.6,DAP (High P)
84.14,68.42,86.52,6.54,18.9,800.8,Standard Balanced NPK
70.67,73.34,429.66,8.23,21.6,337.4,Urea (High N)
262.54,66.55,181.98,5.3,35.4,1426.7,Lime & Urea
266.25,14.6,344.69,5.49,33.4,409.5,Lime & Urea
304.97,79.84,68.06,5.92,35.6,382.0,MOP (High K)
340.44,24.39,324.31,8.05,24.7,241.7,Standard Balanced NPK
440.34,59.32,372.77,6.18,42.0,734.7,Standard Balanced NPK
256.52,73.1,215.94,6.11,28.6,483.1,Standard Balanced NPK
179.18,22.68,146.93,8.99,30.4,1137.1,Gypsum & DAP
368.07,73.12,291.93,6.23,43.5,530.5,Standard Balanced NPK
158.33,28.21,424.94,5.61,44.4,1109.1,Standard Balanced NPK
225.59,78.23,195.6,7.3,34.8,374.3,Standard Balanced NPK
81.38,26.09,163.61,8.11,43.3,422.0,Standard Balanced NPK
60.14,76.51,175.52,4.81,31.2,1228.6,Lime & Urea
435.06,9.02,477.11,7.29,24.2,619.5,DAP (High P)
384.39,58.2,211.67,4.66,24.5,256.5,Lime & Urea
328.39,44.91,51.62,6.87,31.8,1446.0,MOP (High K)
213.58,40.84,401.76,5.66,33.2,348.3,Standard Balanced NPK
119.32,21.76,364.67,5.88,28.2,310.3,Standard Balanced NPK
112.57,57.92,107.86,6.6,41.5,601.7,Standard Balanced NPK
150.1,19.31,493.21,8.67,27.8,233.9,Gypsum & DAP
269.69,46.46,323.63,7.7,23.2,317.9,Standard Balanced NPK
335.84,23.99,275.35,8.72,15.2,1285.0,Gypsum & DAP
314.08,76.67,222.0,7.47,44.1,340.1,Standard Balanced NPK
161.97,7.15,454.4,4.53,39.7,256.0,Lime & Urea
431.95,19.98,159.78,5.7,33.5,1331.9,Standard Balanced NPK
345.16,23.17,178.6,8.58,39.9,721.3,Gypsum & DAP
271.74,36.06,105.08,7.4,39.3,320.0,MOP (High K)
294.69,22.45,391.6,8.92,43.0,914.1,Gypsum & DAP
217.84,41.85,318.0,5.2,26.6,158.1,Lime & Urea
149.09,70.43,324.08,5.84,31.6,698.3,Urea (High N)
192.39,58.4,148.31,6.13,18.0,926.4,Standard Balanced NPK
353.14,48.5,343.03,5.97,44.0,1440.0,Standard Balanced NPK
55.76,11.68,394.46,5.63,44.6,557.1,Standard Balanced NPK
96.43,57.05,211.05,6.5,38.7,1171.1,Urea (High N)
68.4,17.48,410.61,7.39,28.6,285.8,Standard Balanced NPK
66.29,63.98,206.96,5.9,29.9,707.0,Urea (High N)
392.18,23.75,391.16,4.86,28.1,412.4,Lime & Urea
331.46,36.28,65.18,7.69,23.8,789.5,MOP (High K)
239.67,31.29,298.02,6.57,30.8,684.1,Standard Balanced NPK
89.13,69.41,486.29,7.0,16.6,1471.7,Urea (High N)
246.65,14.49,491.56,6.55,44.8,1384.5,DAP (High P)
239.39,47.42,176.79,8.51,27.7,915.1,Gypsum & DAP
119.28,15.65,248.63,7.01,42.8,347.1,Standard Balanced NPK
223.54,57.86,78.34,8.65,36.7,879.7,Gypsum & DAP
209.4,72.88,443.0,6.8,23.7,1208.9,Standard Balanced NPK
296.34,37.6,305.86,5.82,21.7,153.2,Standard Balanced NPK
304.04,41.61,223.3,6.1,44.9,707.6,Standard Balanced NPK
68.12,74.56,100.75,6.85,38.2,159.7,Standard Balanced NPK
199.85,44.07,476.05,6.88,22.5,441.5,Standard Balanced NPK
300.34,41.57,288.6,7.59,17.0,229.0,Standard Balanced NPK
251.25,48.37,177.32,5.51,35.9,1444.8,Standard Balanced NPK
392.6,56.69,207.6,7.46,24.1,336.4,Standard Balanced NPK
313.48,13.02,171.81,8.0,21.6,310.1,Standard Balanced NPK
115.17,66.58,320.81,7.54,37.0,1460.9,Urea (High N)
78.23,37.66,468.48,6.67,35.4,822.4,Urea (High N)
306.97,10.43,435.51,8.96,29.4,1161.2,Gypsum & DAP
60.6,63.96,257.17,6.32,43.3,558.2,Urea (High N)
284.31,33.27,421.92,4.98,35.4,846.0,Lime & Urea
426.09,12.53,240.4,8.2,41.8,109.6,DAP (High P)
280.19,52.53,163.54,5.45,20.7,672.3,Lime & Urea
205.27,71.01,492.54,7.71,23.9,877.1,Standard Balanced NPK
307.32,71.58,186.75,5.31,18.1,820.2,Lime & Urea
233.3,76.82,195.68,4.58,24.1,668.1,Lime & Urea
268.25,70.08,495.36,5.22,44.2,1203.1,Lime & Urea
426.59,5.16,110.27,6.2,43.9,802.3,Standard Balanced NPK
204.44,33.52,392.24,4.98,37.8,990.6,Lime & Urea
434.48,66.39,471.12,5.39,30.6,358.5,Lime & Urea
412.14,32.47,280.31,7.94,38.4,1306.1,Standard Balanced NPK
128.32,50.12,51.13,7.96,31.6,608.0,Standard Balanced NPK
77.74,50.47,218.78,8.18,15.1,774.9,Urea (High N)
90.31,32.38,100.21,8.29,30.0,593.1,Standard Balanced NPK
57.29,72.84,237.28,6.39,33.0,1348.7,Urea (High N)
87.78,42.74,405.51,8.4,23.0,1361.0,Urea (High N)
323.2,39.86,247.42,6.87,21.1,414.0,Standard Balanced NPK
78.48,79.81,244.37,6.62,23.2,1153.8,Urea (High N)
177.59,42.01,300.56,7.73,33.7,244.0,Standard Balanced NPK
387.95,18.38,311.76,5.46,19.4,141.8,Lime & Urea
59.31,43.48,435.33,8.05,36.6,1271.2,Urea (High N)
375.79,66.05,188.76,6.43,27.7,283.6,Standard Balanced NPK
162.74,63.26,419.75,5.07,25.6,316.7,Lime & Urea
97.27,64.14,304.67,5.04,39.2,949.2,Lime & Urea
328.69,58.1,185.24,5.24,30.2,1243.5,Lime & Urea
301.58,24.07,182.81,8.51,26.4,365.4,Gypsum & DAP
400.99,69.66,212.51,8.96,41.3,259.9,Gypsum & DAP
344.03,72.01,330.21,6.11,26.0,208.3,Standard Balanced NPK
371.39,19.56,153.87,5.81,40.8,134.8,Standard Balanced NPK
162.81,14.78,464.15,5.48,30.1,263.1,Lime & Urea
120.98,78.17,308.71,8.21,21.2,1419.8,Urea (High N)
350.25,70.12,464.01,5.44,33.4,233.4,Lime & Urea
372.73,71.99,70.88,8.66,23.6,936.6,Gypsum & DAP
446.2,71.48,204.18,7.5,19.4,1389.4,Standard Balanced NPK
215.05,45.63,60.26,8.54,17.6,978.9,Gypsum & DAP
198.81,53.48,172.51,6.99,22.3,145.8,Standard Balanced NPK
360.57,45.9,437.9,7.61,37.1,935.0,Standard Balanced NPK
186.32,8.84,66.47,7.29,40.1,1364.3,Standard Balanced NPK
422.3,60.91,246.27,8.24,40.9,551.6,Standard Balanced NPK
393.37,42.9,102.91,8.26,23.1,539.1,MOP (High K)
221.6,53.58,237.58,7.15,34.8,448.4,Standard Balanced NPK
350.35,42.7,427.48,7.35,21.9,807.8,Standard Balanced NPK
351.82,41.89,330.38,8.65,33.7,433.1,Gypsum & DAP
91.25,17.88,381.54,8.68,41.6,1113.3,Gypsum & DAP
411.02,25.9,207.1,7.49,16.2,1002.8,Standard Balanced NPK
252.1,16.91,474.98,4.53,44.6,661.1,Lime & Urea
380.58,19.67,369.17,4.97,39.8,1111.6,Lime & Urea
178.02,77.97,239.81,8.36,37.8,237.9,Standard Balanced NPK
408.21,16.48,241.91,4.88,35.7,1149.3,Lime & Urea
205.68,25.2,463.41,5.46,38.1,944.1,Lime & Urea
